CBSA Code,Metro Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,State Abbreviation
41860,41884,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"San Francisco-Redwood City-South San Francisco, CA","San Jose-San Francisco-Oakland, CA",San Francisco County,California,06,075,Central,CA
41860,41884,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"San Francisco-Redwood City-South San Francisco, CA","San Jose-San Francisco-Oakland, CA",San Mateo County,California,06,081,Central,CA
41860,41884,488,"San Francisco-Oakland-Hayward, CA",Metropolitan Statistical Area,"San Francisco-Redwood City-South San Francisco, CA","San Jose-San Francisco-Oakland, CA",Marin County,California,06,041,Central,CA
41900,,364,"San Germán, PR",Metropolitan Statistical Area,,"Mayagüez-San Germán, PR",Cabo Rojo Municipio,Puerto Rico,72,023,Central,PR
41900,,364,"San Germán, PR",Metropolitan Statistical Area,,"Mayagüez-San Germán, PR",Lajas Municipio,Puerto Rico,72,079,Central,PR
41900,,364,"San Germán, PR",Metropolitan Statistical Area,,"Mayagüez-San Germán, PR",Sabana Grande Municipio,Puerto Rico,72,121,Central,PR
41900,,364,"San Germán, PR",Metropolitan Statistical Area,,"Mayagüez-San Germán, PR",San Germán Municipio,Puerto Rico,72,125,Central,PR
41940,,488,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,,"San Jose-San Francisco-Oakland, CA",San Benito County,California,06,069,Outlying,CA
41940,,488,"San Jose-Sunnyvale-Santa Clara, CA",Metropolitan Statistical Area,,"San Jose-San Francisco-Oakland, CA",Santa Clara County,California,06,085,Central,CA
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Aguas Buenas Municipio,Puerto Rico,72,007,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Aibonito Municipio,Puerto Rico,72,009,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Barceloneta Municipio,Puerto Rico,72,017,Outlying,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Barranquitas Municipio,Puerto Rico,72,019,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Bayamón Municipio,Puerto Rico,72,021,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Caguas Municipio,Puerto Rico,72,025,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Canóvanas Municipio,Puerto Rico,72,029,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Carolina Municipio,Puerto Rico,72,031,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Cataño Municipio,Puerto Rico,72,033,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Cayey Municipio,Puerto Rico,72,035,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Ceiba Municipio,Puerto Rico,72,037,Outlying,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Ciales Municipio,Puerto Rico,72,039,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Cidra Municipio,Puerto Rico,72,041,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Comerío Municipio,Puerto Rico,72,045,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Corozal Municipio,Puerto Rico,72,047,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Dorado Municipio,Puerto Rico,72,051,Central,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Fajardo Municipio,Puerto Rico,72,053,Outlying,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Florida Municipio,Puerto Rico,72,054,Outlying,PR
41980,,490,"San Juan-Carolina-Caguas, PR",Metropolitan Statistical Area,,"San Juan-Carolina, PR",Guaynabo Municipio,Puerto Rico,72,061,Central,PR
